Annee;Metier;Contrat;Sexe;Effectif
2012;Manager de proximité, maitrise;Cadre permanent;Homme;35817
2012;Manager de proximité, maitrise;Contractuels;Homme;1330
2012;Ingénieurs et cadres;Cadre permanent;Homme;19953
2012;Ingénieurs et cadres;Contractuels;Femme;787
2012;Agent commercial à bord des trains;Cadre permanent;Homme;5385
2012;Agent commercial à bord des trains;Contractuels;Homme;255
2012;Conducteurs;Cadre permanent;Homme;14595
2013;Manager de proximité, maitrise;Cadre permanent;Homme;35586
2013;Ingénieurs et cadres;Contractuels;Homme;2386
2013;Agent commercial à bord des trains;Contractuels;Homme;288
2013;Conducteurs;Cadre permanent;Homme;14065
2014;Ingénieurs et cadres;Contractuels;Femme;1557
2015;Manager de proximité, maitrise;Cadre permanent;Homme;34537
2015;Manager de proximité, maitrise;Contractuels;Femme;1297
2015;Ingénieurs et cadres;Cadre permanent;Homme;18937
2015;Agent commercial à bord des trains;Contractuels;Homme;349
2015;Conducteurs;Cadre permanent;Femme;246
2016;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Cadre permanent;Homme;36930
2016;Manager de proximité, maitrise;Cadre permanent;Femme;7633
2016;Ingénieurs et cadres;Cadre permanent;Homme;18830
2016;Ingénieurs et cadres;Contractuels;Homme;2750
2016;Conducteurs;Contractuels;Femme;25
2017;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Cadre permanent;Homme;35026
2017;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Cadre permanent;Femme;8100
2017;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Contractuels;Homme;4185
2017;Ingénieurs et cadres;Contractuels;Femme;1697
2017;Agent commercial à bord des trains;Contractuels;Femme;286
2017;Conducteurs;Cadre permanent;Femme;316
2017;Conducteurs;Contractuels;Homme;807
2018;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Cadre permanent;Homme;33005
2018;Conducteurs;Cadre permanent;Femme;356
2019;Manager de proximité, maitrise;Contractuels;Femme;1384
2019;Ingénieurs et cadres;Contractuels;Femme;1796
2019;Conducteurs;Contractuels;Homme;956
2019;Conducteurs;Contractuels;Femme;44
2020;Manager de proximité, maitrise;Cadre permanent;Femme;8124
2020;Manager de proximité, maitrise;Contractuels;Femme;1343
2020;Ingénieurs et cadres;Cadre permanent;Femme;7161
2020;Ingénieurs et cadres;Contractuels;Homme;3278
2020;Agent commercial à bord des trains;Cadre permanent;Femme;2190
2021;Conducteurs;Contractuels;Femme;81
2022;Exécution;Cadre permanent;Homme;28529
2022;Manager de proximité, maitrise;Contractuels;Femme;1215
2022;Ingénieurs et cadres;Contractuels;Femme;2410
2023;Ingénieurs et cadres;Cadre permanent;Femme;7133
2023;Exécution;Contractuels;Homme;13999
2012;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Contractuels;Homme;2448
2012;Ingénieurs et cadres;Contractuels;Homme;1268
2012;Agent commercial à bord des trains;Cadre permanent;Femme;2083
2012;Conducteurs;Contractuels;Femme;8
2013;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Cadre permanent;Femme;9638
2013;Manager de proximité, maitrise;Contractuels;Femme;1303
2013;Ingénieurs et cadres;Cadre permanent;Femme;6175
2013;Agent commercial à bord des trains;Cadre permanent;Femme;2216
2013;Conducteurs;Cadre permanent;Femme;227
2013;Conducteurs;Contractuels;Femme;10
2014;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Cadre permanent;Homme;39997
2014;Manager de proximité, maitrise;Contractuels;Femme;1295
2014;Ingénieurs et cadres;Cadre permanent;Homme;18963
2014;Agent commercial à bord des trains;Contractuels;Femme;132
2014;Conducteurs;Contractuels;Homme;261
2014;Conducteurs;Contractuels;Femme;11
2015;Manager de proximité, maitrise;Cadre permanent;Femme;7834
2015;Manager de proximité, maitrise;Contractuels;Homme;1953
2015;Ingénieurs et cadres;Cadre permanent;Femme;6361
2016;Manager de proximité, maitrise;Cadre permanent;Homme;33884
2016;Manager de proximité, maitrise;Contractuels;Femme;1358
2016;Ingénieurs et cadres;Cadre permanent;Femme;6400
2016;Ingénieurs et cadres;Contractuels;Femme;1688
2016;Agent commercial à bord des trains;Contractuels;Homme;460
2017;Conducteurs;Cadre permanent;Homme;13431
2018;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Contractuels;Femme;1136
2018;Manager de proximité, maitrise;Cadre permanent;Femme;7639
2018;Manager de proximité, maitrise;Contractuels;Homme;2923
2018;Ingénieurs et cadres;Contractuels;Homme;3001
2019;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Contractuels;Homme;4312
2019;Ingénieurs et cadres;Cadre permanent;Femme;7235
2019;Agent commercial à bord des trains;Cadre permanent;Homme;3891
2019;Conducteurs;Cadre permanent;Homme;13384
2020;Agent commercial à bord des trains;Contractuels;Homme;374
2021;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Contractuels;Homme;11417
2021;Manager de proximité, maitrise;Cadre permanent;Homme;31828
2021;Manager de proximité, maitrise;Cadre permanent;Femme;7975
2021;Manager de proximité, maitrise;Contractuels;Femme;1004
2021;Ingénieurs et cadres;Cadre permanent;Homme;19336
2021;Agent commercial à bord des trains;Contractuels;Homme;454
2022;Ingénieurs et cadres;Cadre permanent;Homme;19235
2022;Ingénieurs et cadres;Cadre permanent;Femme;7129
2022;Exécution;Contractuels;Femme;2846
;;Contractuels;Femme;2881
2012;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Cadre permanent;Homme;43079
2012;Manager de proximité, maitrise;Contractuels;Femme;993
2012;Agent commercial à bord des trains;Contractuels;Femme;180
2012;Conducteurs;Cadre permanent;Femme;215
2012;Conducteurs;Contractuels;Homme;178
2013;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Contractuels;Femme;1902
2014;Manager de proximité, maitrise;Cadre permanent;Homme;35320
2014;Manager de proximité, maitrise;Cadre permanent;Femme;7845
2014;Agent commercial à bord des trains;Cadre permanent;Homme;4933
2015;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Contractuels;Femme;1659
2015;Ingénieurs et cadres;Contractuels;Homme;2583
2015;Agent commercial à bord des trains;Cadre permanent;Femme;2156
2016;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Contractuels;Homme;3804
2016;Manager de proximité, maitrise;Contractuels;Homme;2286
2016;Agent commercial à bord des trains;Cadre permanent;Homme;4514
2016;Conducteurs;Contractuels;Homme;587
2017;Manager de proximité, maitrise;Contractuels;Homme;2599
2017;Ingénieurs et cadres;Cadre permanent;Homme;18894
2017;Agent commercial à bord des trains;Cadre permanent;Homme;4210
2017;Conducteurs;Contractuels;Femme;36
2018;Manager de proximité, maitrise;Cadre permanent;Homme;32450
2018;Manager de proximité, maitrise;Contractuels;Femme;1317
2018;Ingénieurs et cadres;Cadre permanent;Homme;18890
2018;Ingénieurs et cadres;Cadre permanent;Femme;6711
2018;Agent commercial à bord des trains;Cadre permanent;Homme;3965
2018;Agent commercial à bord des trains;Cadre permanent;Femme;2118
2018;Conducteurs;Contractuels;Homme;882
2019;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Cadre permanent;Femme;8109
2019;Agent commercial à bord des trains;Contractuels;Homme;534
2019;Conducteurs;Cadre permanent;Femme;413
2020;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Cadre permanent;Homme;29366
2020;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Cadre permanent;Femme;7414
2020;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Contractuels;Homme;5935
2020;Agent commercial à bord des trains;Contractuels;Femme;180
2021;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Cadre permanent;Femme;6741
2021;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Contractuels;Femme;5464
2021;Agent commercial à bord des trains;Cadre permanent;Homme;3451
2021;Conducteurs;Cadre permanent;Homme;12455
2021;Conducteurs;Cadre permanent;Femme;416
2021;Conducteurs;Contractuels;Homme;1376
2022;Manager de proximité, maitrise;Cadre permanent;Femme;8183
2022;Manager de proximité, maitrise;Contractuels;Homme;4745
2023;Manager de proximité, maitrise;Cadre permanent;Homme;41669
2023;Manager de proximité, maitrise;Contractuels;Femme;1501
2023;Ingénieurs et cadres;Contractuels;Homme;4964
2012;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Cadre permanent;Femme;9653
2012;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Contractuels;Femme;2117
2013;Manager de proximité, maitrise;Cadre permanent;Femme;7943
2013;Ingénieurs et cadres;Cadre permanent;Homme;18873
2013;Agent commercial à bord des trains;Contractuels;Femme;170
2013;Conducteurs;Contractuels;Homme;217
2014;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Cadre permanent;Femme;9368
2014;Manager de proximité, maitrise;Contractuels;Homme;1770
2014;Agent commercial à bord des trains;Cadre permanent;Femme;2183
2014;Conducteurs;Cadre permanent;Homme;13765
2014;Conducteurs;Cadre permanent;Femme;230
2015;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Cadre permanent;Femme;9023
2015;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Contractuels;Homme;3453
2015;Ingénieurs et cadres;Contractuels;Femme;1551
2015;Agent commercial à bord des trains;Cadre permanent;Homme;4712
2016;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Cadre permanent;Femme;8535
2016;Agent commercial à bord des trains;Cadre permanent;Femme;2156
2016;Conducteurs;Cadre permanent;Femme;284
2017;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Contractuels;Femme;1487
2017;Manager de proximité, maitrise;Cadre permanent;Femme;7711
2017;Manager de proximité, maitrise;Contractuels;Femme;1329
2017;Agent commercial à bord des trains;Cadre permanent;Femme;2156
2017;Agent commercial à bord des trains;Contractuels;Homme;514
2018;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Cadre permanent;Femme;7577
2018;Agent commercial à bord des trains;Contractuels;Homme;522
2018;Agent commercial à bord des trains;Contractuels;Femme;254
2018;Conducteurs;Cadre permanent;Homme;13218
2018;Conducteurs;Contractuels;Femme;40
2019;Mainteneur, Aiguilleur, Agent commercial, gestionnaire;Cadre permanent;Homme;32041
2019;Manager de proximité, maitrise;Cadre permanent;Homme;32814
2019;Manager de proximité, maitrise;Cadre permanent;Femme;8202
2019;Ingénieurs et cadres;Cadre permanent;Homme;19514
2019;Ingénieurs et cadres;Contractuels;Homme;2819
2019;Agent commercial à bord des trains;Cadre permanent;Femme;2248
