fauteuils;entrees_2021;entrees_2020;proprietaire;part des seances de films Art et Essai;latitude;longitude;num_auto;region_administrative;code_INSEE;population_de_la_commune;departement;num_UU;unite_urbaine;population_unite_urbaine;situation_geographique;ecrans;semaines_d_activite;seances;evolution_entrees;tranche_d_entrees;categorie_Art_et_Essai;label_Art_et_Essai;zone_de_la_commune;nombre_de_films_programmes;nombre_de_films_inedits;nombre_de_films_en_semaine_1;PdM_en_entrees_des_films_francais;PdM_en_entrees_des_films_americains;PdM_en_entrees_des_films_europeens;PdM_en_entrees_des_autres_films;films_Art_et_Essai;PdM_en_entrees_des_films_Art_et_Essai
1610;119 434;75 648;UGC SAS;41,6;48.872265;2.300938;31;ILE-DE-FRANCE;75108;36827;75;851;Paris;10909327;01-Paris;4;32;4 004;57,9;De 100 à 150 000 entrées;NON;;C;80;48;45;45,8;29,8;24,5;0;22;35,8
589;55 067;45 293;CINELBA;97;48.872431;2.299525;35;ILE-DE-FRANCE;75108;36827;75;851;Paris;10909327;01-Paris;3;32;2 855;21,6;De 50 à 80 000 entrées;A;RD;C;136;58;40;68,8;5,6;11,8;13,8;53;97,2
1597;169 651;80 996;LES CINEMAS PATHE GAUMONT;6,4;48.869654;2.306873;54;ILE-DE-FRANCE;75108;36827;75;851;Paris;10909327;01-Paris;6;32;5 335;109,5;De 150 à 200 000 entrées;NON;;C;87;77;66;22,1;55,6;20,8;1,5;9;7,6
448;23 035;19 379;STUDIO DU DRAGON;99,3;48.870512;2.303157;55;ILE-DE-FRANCE;75108;36827;75;851;Paris;10909327;01-Paris;3;32;2 841;18,9;De 20 à 30 000 entrées;A;RD;C;102;62;57;56;5,3;22,1;16,6;60;99,5
760;81 837;55 232;UGC SAS;53,4;48.871332;2.335302;204;ILE-DE-FRANCE;75109;60370;75;851;Paris;10909327;01-Paris;4;32;4 044;48,2;De 80 à 100 000 entrées;NON;;C;63;37;39;63,9;12,2;23,9;0;20;44,7
591;59 031;37 409;PARAFRANCE COMMUNICATION;72,5;48.871363;2.344886;301;ILE-DE-FRANCE;75109;60370;75;851;Paris;10909327;01-Paris;1;32;868;57,8;De 50 à 80 000 entrées;A;;C;58;14;11;22,5;48,9;22,2;6,4;10;74,2
4274;473 518;148 381;THEATRE LE REX;8,1;48.86872;2.347608;311;ILE-DE-FRANCE;75102;21561;75;851;Paris;10909327;01-Paris;7;32;6 119;219,1;De 450 à 700 000 entrées;NON;;C;127;82;78;16,7;66,8;10,9;5,6;5;10,1
1138;181 402;123 537;GAUMONT;40,6;48.870632;2.334338;321;ILE-DE-FRANCE;75102;21561;75;851;Paris;10909327;01-Paris;6;32;5 513;46,8;De 150 à 200 000 entrées;NON;;C;97;86;67;47,5;32,7;19,3;0,5;40;31,2
1592;190 458;124 223;UGC SAS;26,2;48.84351;2.325646;451;ILE-DE-FRANCE;75106;41384;75;851;Paris;10909327;01-Paris;7;32;7 027;53,3;De 150 à 200 000 entrées;NON;;C;81;74;74;46,7;37,3;16;0;18;28,5
2876;475 104;283 901;PARAFRANCE COMMUNICATION;34,1;48.843074;2.324424;481;ILE-DE-FRANCE;75114;137574;75;851;Paris;10909327;01-Paris;15;32;17 318;67,3;De 450 à 700 000 entrées;NON;;C;219;199;195;47,2;35,8;14,9;2,1;85;28,4
268;29 174;19 479;MANUFACTURE A FILMS;89,3;48.83393;2.31652;483;ILE-DE-FRANCE;75114;137574;75;851;Paris;10909327;01-Paris;3;32;2 873;49,8;De 20 à 30 000 entrées;A;RDJP;C;219;119;22;73,6;9,1;11;6,3;101;89,1
557;158 940;129 665;MK2 CINEMAS;98;48.861555;2.352217;531;ILE-DE-FRANCE;75103;34305;75;851;Paris;10909327;01-Paris;6;32;8 357;22,6;De 150 à 200 000 entrées;A;RDPR;C;212;77;65;54;19,6;14,9;11,5;74;98,9
762;62 847;50 265;PARAFRANCE COMMUNICATION;52,5;48.878512;2.282965;612;ILE-DE-FRANCE;75117;167284;75;851;Paris;10909327;01-Paris;4;32;4 159;25;De 50 à 80 000 entrées;NON;;C;100;72;49;68,2;10,2;20,8;0,8;50;42,8
510;76 108;60 802;LES CINEMAS PATHE GAUMONT;93;48.852188;2.342788;721;ILE-DE-FRANCE;75106;41384;75;851;Paris;10909327;01-Paris;4;32;5 469;25,2;De 50 à 80 000 entrées;A;RD;C;99;77;42;66,9;8,2;10,8;14,1;64;94,1
678;143 364;101 335;PARAFRANCE COMMUNICATION;60,2;48.852437;2.338266;731;ILE-DE-FRANCE;75106;41384;75;851;Paris;10909327;01-Paris;5;32;6 589;41,5;De 100 à 150 000 entrées;NON;;C;66;63;62;57,5;23,7;16,4;2,4;41;57,1
